timestamp_utc,session_id,entry_type,elapsed_seconds,total_pool_size,active_count,visible_count,inactive_count,peak_active_count,pool_miss_count,pool_expansion_count,average_active_count,average_visible_count,max_visible_count,details
2026-03-25T14:09:10.5047325Z,20260325_140910_498,SESSION_START,0.000,64,0,0,64,0,0,0,,,,initial_pool=64;expansion_size=16;allow_expand=True;visible_cap=False
2026-03-25T14:09:12.8546620Z,20260325_140910_498,SAMPLE,1.004,64,8,0,56,8,0,0,,,,
2026-03-25T14:09:13.8564584Z,20260325_140910_498,SAMPLE,2.006,64,17,4,47,17,0,0,,,,
2026-03-25T14:09:14.8515133Z,20260325_140910_498,SAMPLE,3.001,64,25,7,39,25,0,0,,,,
2026-03-25T14:09:15.9558040Z,20260325_140910_498,SAMPLE,4.105,64,32,14,32,32,0,0,,,,
2026-03-25T14:09:16.8559150Z,20260325_140910_498,SAMPLE,5.005,64,38,21,26,38,0,0,,,,
2026-03-25T14:09:17.8515544Z,20260325_140910_498,SAMPLE,6.001,64,38,17,25,39,0,0,,,,
2026-03-25T14:09:18.8580604Z,20260325_140910_498,SAMPLE,7.007,64,40,22,23,40,0,0,,,,
2026-03-25T14:09:19.8533984Z,20260325_140910_498,SAMPLE,8.003,64,43,21,20,43,0,0,,,,
2026-03-25T14:09:20.8584467Z,20260325_140910_498,SAMPLE,9.008,64,48,27,16,48,0,0,,,,
2026-03-25T14:09:21.8585569Z,20260325_140910_498,SAMPLE,10.007,64,51,23,12,51,0,0,,,,
2026-03-25T14:09:22.8538638Z,20260325_140910_498,SAMPLE,11.003,64,52,20,11,53,0,0,,,,
2026-03-25T14:09:23.8519591Z,20260325_140910_498,SAMPLE,12.001,64,56,24,6,57,0,0,,,,
2026-03-25T14:09:24.1538140Z,20260325_140910_498,PLAYER_HIT_IGNORED,12.297,64,52,22,10,57,0,0,,,,position=(0.05;0.58)
2026-03-25T14:09:24.8555077Z,20260325_140910_498,SAMPLE,13.005,64,58,23,6,58,0,0,,,,
2026-03-25T14:09:25.8511707Z,20260325_140910_498,SAMPLE,14.000,64,60,25,4,60,0,0,,,,
2026-03-25T14:09:26.8558506Z,20260325_140910_498,SAMPLE,15.005,64,60,25,3,62,0,0,,,,
2026-03-25T14:09:27.8555633Z,20260325_140910_498,SAMPLE,16.005,64,60,23,4,62,0,0,,,,
2026-03-25T14:09:28.4510195Z,20260325_140910_498,POOL_EMPTY,16.600,64,63,29,0,63,1,0,,,,pool empty; requesting expansion
2026-03-25T14:09:28.4536254Z,20260325_140910_498,POOL_EXPAND,16.600,80,63,29,16,63,1,1,,,,expanded_by=16;new_total_pool=80
2026-03-25T14:09:28.8535542Z,20260325_140910_498,SAMPLE,17.004,80,65,31,14,66,1,1,,,,
2026-03-25T14:09:29.4374731Z,20260325_140910_498,PLAYER_HIT_IGNORED,17.575,80,65,27,13,67,1,1,,,,position=(0.08;0.59)
2026-03-25T14:09:29.8540267Z,20260325_140910_498,SAMPLE,18.003,80,65,24,13,67,1,1,,,,
2026-03-25T14:09:30.8514921Z,20260325_140910_498,SAMPLE,19.001,80,64,25,15,67,1,1,,,,
2026-03-25T14:09:31.8535969Z,20260325_140910_498,SAMPLE,20.003,80,64,27,15,67,1,1,,,,
2026-03-25T14:09:31.9167902Z,20260325_140910_498,PLAYER_HIT_IGNORED,20.060,80,63,26,15,67,1,1,,,,position=(0.00;0.61)
2026-03-25T14:09:32.8507860Z,20260325_140910_498,SAMPLE,21.000,80,66,27,14,67,1,1,,,,
2026-03-25T14:09:33.8541247Z,20260325_140910_498,SAMPLE,22.003,80,66,28,14,67,1,1,,,,
2026-03-25T14:09:34.8523109Z,20260325_140910_498,SAMPLE,23.001,80,68,26,10,69,1,1,,,,
2026-03-25T14:09:35.1562235Z,20260325_140910_498,PLAYER_HIT_IGNORED,23.298,80,65,22,12,69,1,1,,,,position=(-0.04;0.61)
2026-03-25T14:09:35.8520614Z,20260325_140910_498,SAMPLE,24.002,80,63,25,15,69,1,1,,,,
2026-03-25T14:09:36.8511052Z,20260325_140910_498,SAMPLE,25.001,80,65,28,14,69,1,1,,,,
2026-03-25T14:09:37.8559852Z,20260325_140910_498,SAMPLE,26.005,80,68,24,11,69,1,1,,,,
2026-03-25T14:09:38.8557832Z,20260325_140910_498,SAMPLE,27.005,80,68,26,12,69,1,1,,,,
2026-03-25T14:09:39.8561267Z,20260325_140910_498,SAMPLE,28.005,80,72,31,8,72,1,1,,,,
2026-03-25T14:09:40.8519791Z,20260325_140910_498,SAMPLE,29.001,80,71,30,9,72,1,1,,,,
2026-03-25T14:09:41.7970051Z,20260325_140910_498,PLAYER_HIT_IGNORED,29.940,80,69,33,8,72,1,1,,,,position=(0.04;0.61)
2026-03-25T14:09:41.8519199Z,20260325_140910_498,SAMPLE,30.002,80,70,33,7,72,1,1,,,,
2026-03-25T14:09:42.8526972Z,20260325_140910_498,SAMPLE,31.002,80,70,29,7,73,1,1,,,,
